term,Dpth_Max,DpthThlwgExit,DpthResid,LWCount,FishCovLW,FishCovTVeg,FishCovUcut,FishCovArt,FishCovAqVeg,FishCovNone,FishCovTotal,SubEstBdrk,SubEstBldr,SubEstCbl,SubEstGrvl,SubEstSandFines,SubEstTotal,n_UC,Ucut_Length,Ucut_Area,UcutArea_Pct,Elev_M,CUMDRAINAG,Discharge,CU_Freq,Sin,SubD50,WetBraid,Grad,Cond,FishCovSome,SubEstCandBldr,LWDens
FishCovTotal,0.06908770737726941,0.031700437841133945,0.03130907037911426,0.0971797430146078,0.09395472875613103,0.25400652364344856,NA,-0.00222253158611418,0.23136307308585943,-0.19882417029504815,NA,-0.010020508774323134,-0.044060711730540894,-0.09562298365426596,0.06715311386956814,0.03446849390086401,NA,-0.09901136531020338,-0.051668663676770636,-0.05757371124791941,-0.020901987372279354,0.11600532055362395,0.013888303098569867,0.05144054606361616,-0.06333635911171115,-0.007285680495406549,-0.030471142398923755,-0.007416954671788556,-0.07149345085091419,0.032667071863371866,0.19882417029504815,-0.09152505449150289,8.542851214621974e-4
SubEstBdrk,0.1212104988664437,0.0787557346782288,0.11150690208903313,-0.02990382597534314,-0.049077806387016545,-0.03326094799245399,NA,-0.011031124767806282,-0.06389807846151849,0.09000879050775956,-0.010020508774323134,NA,0.028142691590614458,-0.04050013864339509,-0.13437043916947486,-0.011147236121992098,NA,-0.0010284258507139135,-0.04404064679750311,-0.03652188562521724,-0.015197732812322975,-0.08742127845964197,2.7588817652594963e-4,0.06116546796239355,-0.018507046165827268,-0.02116440514272663,0.12775173775765572,0.010219865710023542,-0.018185707545669578,-0.07848619112566058,-0.09000879050775956,-0.014164294536994968,-0.010555290057000514
SubEstBldr,0.038727689571389196,0.13556381418892496,-0.03141766381681284,0.022125464538305228,-0.08956618314655239,-0.12707860761889406,NA,0.021465834155147807,-0.22411147519247412,0.25827471907946314,-0.044060711730540894,0.028142691590614458,NA,0.28894583703213766,-0.5433206956484126,-0.255093417806559,NA,-0.09797007817388596,-0.07428787935174627,-0.05495934180153596,0.032471638870134274,-0.10974587562116536,0.029120819110702557,0.11667721416607826,-0.007692342591476639,-0.3272135932786278,0.6535491117394939,-0.047787032435596725,0.3235206992738779,-0.3308025421594211,-0.25827471907946314,0.7301180674235833,-0.008469585759226541
SubEstCbl,0.0154390875460597,0.09137513457861632,-0.08091941914923657,0.052497928542599194,-0.1351631826710895,-0.1573706087975382,NA,-0.04164621405089636,-0.22733200475652604,0.30056668774985257,-0.09562298365426596,-0.04050013864339509,0.28894583703213766,NA,-0.41168745780802346,-0.5370180274412402,NA,0.029373013801366643,0.1207180860210013,0.13837672344380722,0.0036551455681204333,-0.15039298144795257,0.19033756643047664,0.15922927974947718,-0.16348899697872774,-0.2987477867588484,0.4490148212101667,0.08003888626871217,0.07648140848996908,-0.2787297139787108,-0.30056668774985257,0.8651388367477406,-0.08439955468502248
SubEstGrvl,-0.2534316790583902,-0.23426629509020752,-0.18666935626879644,-0.14717917546395626,-0.1541717342806318,0.008142190012696414,NA,-0.0807536784388524,0.3281325151538576,-0.10801251899260603,0.06715311386956814,-0.13437043916947486,-0.5433206956484126,-0.41168745780802346,NA,-0.38566480089395894,NA,0.004263073861012661,0.018852622930992203,-0.030031309085966285,-0.023312285723897378,0.325834190510062,-0.14746658580092567,-0.22697652641102176,0.0019133226509976788,0.42934791932736066,-0.5007618755877176,-0.014613858641675062,-0.18757389051367734,0.31338761438587437,0.10801251899260603,-0.5784825633853117,-0.12212914168731223
SubEstSandFines,0.21383956889215233,0.08158550908604553,0.2875165497611548,0.10620554780669161,0.33852254133859944,0.20226212565580903,NA,0.10985639278370657,-0.02041032244915623,-0.30094037693975384,0.03446849390086401,-0.011147236121992098,-0.255093417806559,-0.5370180274412402,-0.38566480089395894,NA,NA,0.027405699092470318,-0.06624607341927088,-0.041253216584062655,0.00514723939658844,-0.14254805002005294,-0.021462726167488008,0.032932142602004576,0.1382304406192845,-0.017017647537746476,-0.24104195193494196,-0.022621657774712922,-0.051524350083192276,0.11000710533159885,0.30094037693975384,-0.5169433147636875,0.2054003082593278
SubEstTotal,0.018304325464180347,NA,NA,-0.04972056869491621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014777099879446103,0.012676640614761297,0.004307964296084845,0.04804126849103839,0.026145671138167396,-0.09837416746073153,0.03641658230294007,0.028876402389433346,-0.05064664560485514,0.01933666794064695,0.01891431301117914,0.011574441699507764,NA,NA,-0.0063625878656758915
n_UC,0.3528794489393528,0.07285347462809616,0.3566231704179146,0.34921034482244667,-0.16334163254989928,-0.07020836201599785,NA,0.07136803024193712,0.01174020839515771,0.08954384354237409,-0.09901136531020338,-0.0010284258507139135,-0.09797007817388596,0.029373013801366643,0.004263073861012661,0.027405699092470318,NA,NA,0.630680599120133,0.5394697618031489,-0.06614767243894538,-0.054955947970684586,0.026176242632574724,0.15438946348443483,-0.23009658091745017,0.22226415932022348,-0.11930884512074671,-0.09901703267439109,-0.18635184901079907,0.03754926779054529,-0.08954384354237409,-0.024673637190198622,-0.14577148622084737
Ucut_Length,0.2386800553945797,0.14993899937680188,0.2107909259166609,0.1494410880442865,-0.12367572668312792,-0.011576988132080492,NA,-0.015657287270070156,0.03888986207706194,0.05844908900116352,-0.051668663676770636,-0.04404064679750311,-0.07428787935174627,0.1207180860210013,0.018852622930992203,-0.06624607341927088,0.014777099879446103,0.630680599120133,NA,0.9495891737395012,0.11634444277851383,0.06738010524496899,0.0043601015572938,0.10336019971028546,-0.1347763377224977,0.2190941830571051,-0.04344680074019259,-0.07632763778519933,-0.10183063433840592,-0.09290771495405577,-0.05844908900116352,0.047246710509334114,-0.052750352305096955
Ucut_Area,0.2620776829734783,0.15122034603432435,0.23653272832847538,0.16812000831215415,-0.1041097816696206,0.01809965891013426,NA,-0.01638171168822177,-0.02359745494816412,0.07538187939391457,-0.05757371124791941,-0.03652188562521724,-0.05495934180153596,0.13837672344380722,-0.030031309085966285,-0.041253216584062655,0.012676640614761297,0.5394697618031489,0.9495891737395012,NA,0.15966828718475587,0.006316310698105922,0.013281470863916693,0.11374855192241903,-0.1199367554623044,0.17920600866251624,-0.010461044496536545,-0.06823597350798799,-0.08274376176561189,-0.10857956823234238,-0.07538187939391457,0.06997665276923361,-0.0332969702378623
UcutArea_Pct,-0.02876587428424885,-0.05306694974567108,-0.0068062550781916205,-0.023837307056408304,0.03828265203494825,0.0778986653493791,NA,-0.008381838423641976,-0.0025980308954770322,-0.05715525659373296,-0.020901987372279354,-0.015197732812322975,0.032471638870134274,0.0036551455681204333,-0.023312285723897378,0.00514723939658844,0.004307964296084845,-0.06614767243894538,0.11634444277851383,0.15966828718475587,NA,-0.020157081551895557,-0.046678171582417105,-0.03963202172258093,0.15710582186390595,-0.005620872358514288,0.00701736054947927,-0.03530659323889904,0.16621882423277068,-0.021201264442941698,0.05715525659373296,0.01962010502900068,0.13339223007205425
Elev_M,-0.3102761645149044,-0.1537061208900277,-0.30034421559604996,-0.28562633655598946,-0.07966439618442561,-0.016429640540262712,NA,-0.03905794586340135,0.4162742843692182,-0.20771936916230782,0.11600532055362395,-0.08742127845964197,-0.10974587562116536,-0.15039298144795257,0.325834190510062,-0.14254805002005294,0.04804126849103839,-0.054955947970684586,0.06738010524496899,0.006316310698105922,-0.020157081551895557,NA,-0.18241488683093668,-0.3839515520707341,-0.06330801788871282,0.22211055318399914,-0.2778203661772267,-0.1226849593118895,-0.15637364304512882,0.40748181874792333,0.20771936916230782,-0.16656641327116728,-0.09408163514484898
CUMDRAINAG,0.28858686430278463,0.15957345884369045,0.26440412345646747,0.1857897127607237,-0.1299535984425392,-0.18269544014734368,NA,-0.009868563784835877,-0.03237456010110902,0.18236759040589523,0.013888303098569867,2.7588817652594963e-4,0.029120819110702557,0.19033756643047664,-0.14746658580092567,-0.021462726167488008,0.026145671138167396,0.026176242632574724,0.0043601015572938,0.013281470863916693,-0.046678171582417105,-0.18241488683093668,NA,0.6524421205996885,-0.33602805063138613,-0.1355871171551412,0.12118779084277896,0.40794127198398505,-0.23561406336043225,0.26698787592876577,-0.18236759040589523,0.15177085834228202,-0.07575035401833928
Discharge,0.4804733015247582,0.45147450400533773,0.38172404943109667,0.27743065277143114,-0.12760968767466188,-0.07331066417215937,NA,0.02503006163408138,-0.050949058632172486,0.15720277986226727,0.05144054606361616,0.06116546796239355,0.11667721416607826,0.15922927974947718,-0.22697652641102176,0.032932142602004576,-0.09837416746073153,0.15438946348443483,0.10336019971028546,0.11374855192241903,-0.03963202172258093,-0.3839515520707341,0.6524421205996885,NA,-0.390840942124038,0.004263829497455989,0.25503325543714495,0.1546357399060478,-0.2643158164271707,-0.08201018978571015,-0.15720277986226727,0.1747771632221151,-0.029305229002716697
CU_Freq,-0.3190134463919536,-0.32077042014881485,-0.21890347896863296,-0.18408729726162812,0.317895110800735,0.14355649788688038,NA,-0.027081596361427967,-0.04469577064016189,-0.25289888590325127,-0.06333635911171115,-0.018507046165827268,-0.007692342591476639,-0.16348899697872774,0.0019133226509976788,0.1382304406192845,0.03641658230294007,-0.23009658091745017,-0.1347763377224977,-0.1199367554623044,0.15710582186390595,-0.06330801788871282,-0.33602805063138613,-0.390840942124038,NA,-0.028408804173064593,-0.17525892460114215,-0.07242706451261481,0.7428168993914512,0.04967200931033323,0.25289888590325127,-0.12072280385107265,0.23354525920991678
