MetricCategory,Metric,Model_select,,dataset,var,obsCV,non_NA,is_NA,perc_NA,non_0,perc_non0,MAS,MEV,MCN,MICR2,GMIC,TIC,MetricGroupName,Name,species.y,MIC.y,MIC_diff,MIC_diff_direction,MIC_rel_diff,RestoInform
Size,DpthBf_Avg,0,,Summer_CHaMP,0.044818645,0.516979226,584,13,0.022,584,0.978224456,0.012481075,0.149531337,3,NA,0.074875508,5.950272772,Visit Metric,Bankfull Depth Avg,Chinook,0.227183533,0.077652196,-,1.519303826,1
Size,Ppt,0,,Summer_CHaMP,5.434200323,0.384321289,370,227,0.38,370,0.619765494,0.037225775,0.192790116,2.584962501,NA,0.114015512,8.584075782,NA,Precipitation,Chinook,0.226431658,0.033641542,-,1.174498274,0
Size,Grad,1,,Summer_CHaMP,3.124938879,0.913337301,591,6,0.01,591,0.989949749,0.083561748,0.211320608,2,NA,0.14169712,8.549867613,Visit Metric,Gradient,Chinook,0.212460943,0.001140334,-,1.005396228,1
Size,PoolResidDpth,1,,Summer_CHaMP,0.065379224,0.756269124,542,55,0.092,542,0.907872697,0.011862432,0.169013355,3,NA,0.083839222,6.628374047,Visit Metric,Residual Pool Depth,Chinook,0.17080283,0.001789475,-,1.010587772,1
Substrate,SubD16,1,,Summer_CHaMP,152.0916225,0.95510305,592,5,0.008,592,0.991624791,0.039901572,0.143288284,3,NA,0.069827708,5.456892342,Visit Metric,Substrate: D16,Chinook,0.225941246,0.082652962,-,1.576829865,1
Substrate,SubD50,1,,Summer_CHaMP,1685.479451,0.768205967,592,5,0.008,592,0.991624791,0.033252926,0.173440468,2.584962501,NA,0.103689689,7.40578553,Visit Metric,Substrate: D50,Chinook,0.204844447,0.031403978,-,1.181064884,1
Substrate,SubLT6,0,,Summer_CHaMP,579.5087047,0.988299531,565,32,0.054,563,0.943048576,0.012974911,0.167303765,3,NA,0.089157596,6.857302444,Visit Metric,Substrate < 6mm,Chinook,0.20336299,0.036059226,-,1.215531466,1
Substrate,SubLT2,1,,Summer_CHaMP,490.287601,1.267403116,565,32,0.054,547,0.916247906,0.01223932,0.148164116,2.584962501,NA,0.077598823,6.302276228,Visit Metric,Substrate < 2mm,Chinook,0.190795896,0.042631781,-,1.287733508,1
Substrate,SubEstSandFines,1,,Summer_CHaMP,326.3044386,0.812716984,587,10,0.017,582,0.974874372,0.019580818,0.158968439,3,NA,0.079152794,6.823650854,Visit Metric,Substrate Est: Sand and Fines,Chinook,0.187893643,0.028925204,-,1.181955639,1
Substrate,SubEmbed_Avg,0,,Summer_CHaMP,63.30536226,1.048121429,468,129,0.216,460,0.770519263,0.014675756,0.167260029,2.584962501,NA,0.090133848,7.171605173,Visit Metric,Substrate: Embeddedness Avg,Chinook,0.185871111,0.018611083,-,1.111270354,0
Substrate,SubEmbed_SD,0,,Summer_CHaMP,61.59757027,0.750823049,461,136,0.228,456,0.763819095,0.016023292,0.16380096,2.584962501,NA,0.08744484,6.941913262,Visit Metric,Substrate: Embeddedness SD,Chinook,0.185137566,0.021336606,-,1.130259344,0
Substrate,SubEstCbl,1,,Summer_CHaMP,202.9571296,0.542789327,587,10,0.017,577,0.966499162,0.030603665,0.167954519,3,NA,0.087639159,6.661865009,Visit Metric,Substrate Est: Cobbles,Chinook,0.184307041,0.016352522,-,1.097362797,1
Substrate,SubEstBldr,1,,Summer_CHaMP,138.7878665,1.258162569,587,10,0.017,494,0.827470687,0.012833162,0.158518228,2,NA,0.092478851,7.101306385,Visit Metric,Substrate Est: Boulders,Chinook,0.179391119,0.020872891,-,1.131675024,1
Substrate,SubD84,1,,Summer_CHaMP,10742.0849,0.766924921,592,5,0.008,592,0.991624791,0.013959905,0.153349443,2,NA,0.093968304,7.135884394,Visit Metric,Substrate: D84,Chinook,0.175359981,0.022010538,-,1.143531908,1
Substrate,SubEstGrvl,1,,Summer_CHaMP,253.7421671,0.387071792,587,10,0.017,587,0.983249581,0.010234873,0.1486033,2.584962501,NA,0.076800633,6.3332675,Visit Metric,Substrate Est: Coarse and Fine Gravel,Chinook,0.162348169,0.013744869,-,1.092493699,1
Temperature,Elev_M,1,evaluate,Summer_CHaMP,177243.2833,0.355135403,350,247,0.414,350,0.586264657,0.037590572,0.24812113,2.584962501,NA,0.169148502,11.36628302,NA,Elev_M,Chinook,0.292234903,0.044113774,-,1.177791281,0
Temperature,avg_aug_temp,1,which comp with norwest,Summer_CHaMP,27.56392935,0.271744527,597,0,0,597,1,0.0805095,0.303333546,2.584962501,0.185367682,0.21616516,14.21471263,Visit Metric,Avg. August Temperature,Chinook,0.24744328,0.055890267,+,0.815746503,0
Temperature,aug_temp,1,which comp with norwest,Summer_CHaMP,27.24049055,0.276915256,481,116,0.194,481,0.805695142,0.04729513,0.251468766,2,NA,0.189227169,13.23807223,Visit Metric,August Temperature,Chinook,0.197534172,0.053934594,+,0.785521697,0
Temperature,SolarSummr_Avg,0,,Summer_CHaMP,392.5219087,0.31578129,553,44,0.074,553,0.926298157,0.012952406,0.158572259,2.584962501,NA,0.085473908,6.658792686,Visit Metric,Solar Access: Summer Avg,Chinook,0.194463046,0.035890787,-,1.226337113,0
WaterQuality,Alk,0,,Summer_CHaMP,4839.896922,0.829274035,592,5,0.008,587,0.983249581,0.023123565,0.156241546,2,NA,0.093220067,6.980401134,Visit Metric,Alkalinity,Chinook,0.22960522,0.073363674,-,1.469552917,0
WaterQuality,Cond,1,evaluate,Summer_CHaMP,21652.40728,1.021901962,586,11,0.018,586,0.981574539,0.05975589,0.209753071,3,NA,0.122872625,7.98935529,Visit Metric,Conductivity,Chinook,0.22097763,0.01122456,-,1.053513208,0
WaterQuality,DriftBioMass,0,,Summer_CHaMP,2.15E-05,7.17030294,386,211,0.353,334,0.559463987,0.015142714,0.132563229,2.584962501,NA,0.073468878,5.696817733,Visit Metric,Drift Biomass,Chinook,0,0.132563229,+,0,0
Wood,LWVol_BfSlow,0,,Summer_CHaMP,305.2537893,2.48950285,597,0,0,446,0.747068677,0.008940302,0.161289966,3,0.153587203,0.072144752,6.200709158,Visit Metric,Large Wood Volume: Bankfull Slow Water,Chinook,0.234088349,0.072798382,-,1.451350965,1
Wood,LWVol_Bf,0,,Summer_CHaMP,1197.88685,1.9543629,597,0,0,550,0.921273032,0.022384205,0.149294759,2.584962501,0.148240031,0.080105331,6.02483323,Visit Metric,Large Wood Volume: Bankfull,Chinook,0.225809015,0.076514256,-,1.512504633,1
Wood,LWVol_WetSlow,1,,Summer_CHaMP,163.1158618,2.77089297,597,0,0,417,0.698492462,0.027536182,0.158320988,3.321928095,0.14778255,0.0679529,5.86870698,Visit Metric,Large Wood Volume: Wetted Slow Water,Chinook,0.225319919,0.066998931,-,1.423184141,1
Wood,LWVol_Wet,1,,Summer_CHaMP,441.0392432,2.055757528,597,0,0,531,0.889447236,0.01068425,0.160427654,3,0.157499192,0.077968334,6.312299535,Visit Metric,Large Wood Volume: Wetted,Chinook,0.198764891,0.038337237,-,1.238969005,1
Wood,LWFreq_Wet,1,,Summer_CHaMP,363.0214611,1.449450204,595,2,0.003,528,0.884422111,0.02056428,0.166536299,3,NA,0.078457222,6.79603995,Visit Metric,Large Wood Frequency: Wetted,Chinook,0.185057661,0.018521362,-,1.111215166,1
Wood,LWVol_WetFstTurb,1,,Summer_CHaMP,148.7190208,2.753025753,597,0,0,443,0.742043551,0.016017752,0.146642216,3,0.145221893,0.068417871,5.83546067,Visit Metric,Large Wood Volume: Wetted Fast Turbulent,Chinook,0.179930598,0.033288382,-,1.227004088,1
Wood,LWVol_WetFstNT,1,,Summer_CHaMP,11.44099632,3.495860607,597,0,0,242,0.405360134,0.010595898,0.139289103,2.584962501,0.128317146,0.068007264,5.876719325,Visit Metric,Large Wood Volume: Wetted Fast NonTurbulent,Chinook,0.173359994,0.03407089,-,1.24460557,1
Wood,LWVol_BfFstNT,0,,Summer_CHaMP,120.2998556,5.685838966,597,0,0,284,0.475711893,0.020616098,0.148311659,3,0.143909231,0.06488557,5.954768303,Visit Metric,Large Wood Volume: Bankfull Fast NonTurbulent,Chinook,0.169124796,0.020813138,-,1.140333792,1
Wood,LWFreq_Bf,0,,Summer_CHaMP,920.068675,1.296488854,595,2,0.003,547,0.916247906,0.018892335,0.164189035,3,NA,0.081806414,6.421007851,Visit Metric,Large Wood Frequency: Bankfull,Chinook,0.168225815,0.00403678,-,1.024586176,1
